method_id,scale,training_seeds,evaluation_episodes,replicate_unit,makespan,makespan_ci95_lower,makespan_ci95_upper,completion_rate,completion_rate_ci95_lower,completion_rate_ci95_upper,deadline_completion_rate,deadline_completion_rate_ci95_lower,deadline_completion_rate_ci95_upper,mission_success,mission_success_ci95_lower,mission_success_ci95_upper,deadline_remaining_tasks,deadline_remaining_tasks_ci95_lower,deadline_remaining_tasks_ci95_upper,throughput,throughput_ci95_lower,throughput_ci95_upper,invalid_actions,invalid_actions_ci95_lower,invalid_actions_ci95_upper,communication_events,communication_events_ci95_lower,communication_events_ci95_upper,heartbeat_messages,heartbeat_messages_ci95_lower,heartbeat_messages_ci95_upper,reallocated_tasks,reallocated_tasks_ci95_lower,reallocated_tasks_ci95_upper,reallocation_successes,reallocation_successes_ci95_lower,reallocation_successes_ci95_upper,reallocation_success_rate,reallocation_success_rate_ci95_lower,reallocation_success_rate_ci95_upper,return,return_ci95_lower,return_ci95_upper
gppo_event_no_gate,3x20,5,500,training_seed,23.395272462486922,23.05756164706576,23.732983277908083,0.9318532279314887,0.9285111532769513,0.9351953025860261,0.79493391680783,0.7831406326727461,0.8067272009429138,0.08199999999999999,0.04644985423377282,0.11755014576622716,4.2620000000000005,4.016767462387228,4.507232537612773,0.913888888888889,0.900568516373429,0.9272092614043489,0.5559999999999999,0.496074395989694,0.6159256040103059,23.954,23.87230821084099,24.03569178915901,28.644,28.390546487228917,28.89745351277108,0.28400000000000003,0.2651722519668443,0.30282774803315576,0.10400000000000001,0.092896,0.11510400000000001,0.36721864342553995,0.32006444577727106,0.41437284107380884,-10.708828785653747,-11.046539601074908,-10.371117970232586
gppo_event_no_gate,4x24,5,500,training_seed,21.656787008496103,21.1851954021505,22.128378614841704,0.96925,0.9688172149622631,0.9696827850377367,0.8143333333333332,0.8014969387027873,0.8271697279638792,0.026000000000000002,0.014896000000000005,0.037104,4.4559999999999995,4.147926528866895,4.764073471133104,1.2215,1.202245408054181,1.2407545919458192,0.38,0.32111214726278436,0.43888785273721564,27.808,27.706609473894254,27.909390526105746,46.99,46.131187968784786,47.84881203121522,0.20600000000000002,0.1681404076091673,0.24385959239083274,0.12,0.0908850663747966,0.1491149336252034,0.5802592051313279,0.5295608067262152,0.6309576035364406,-8.842424359812458,-9.314015966158058,-8.370832753466859
gppo_event_single_head,2x12,5,500,training_seed,17.452911055307357,17.23263253637602,17.673189574238695,0.9059327407886231,0.9047525017806713,0.9071129797965748,0.7701245421245421,0.7613706623848224,0.7788784218642617,0.11000000000000001,0.0808850663747966,0.13911493362520344,2.906,2.795795946644418,3.0162040533555823,0.6902857142857142,0.6824139961888869,0.6981574323825415,0.11399999999999999,0.08541933072862007,0.1425806692713799,15.056000000000001,14.97152563124829,15.140474368751711,9.592,9.510402597688408,9.673597402311593,0.246,0.234896,0.257104,0.07200000000000001,0.06161315909431555,0.08238684090568447,0.2921739130434783,0.25918180564338283,0.32516602044357373,-6.392262273858357,-6.612540792789697,-6.171983754927017
gppo_event_single_head,3x16,5,500,training_seed,18.64525305160099,18.553880501310957,18.73662560189102,0.9417916666666667,0.9405871099027219,0.9429962234306115,0.7418700980392157,0.73720957538175,0.7465306206966813,0.018,0.012448,0.023551999999999997,4.266,4.192239846420985,4.339760153579015,0.944153846153846,0.9384799881862294,0.9498277041214627,0.2,0.17517070117784234,0.22482929882215769,19.77,19.71243563880316,19.82756436119684,25.344,25.17432303180455,25.51367696819545,0.28200000000000003,0.24986547675785437,0.3141345232421457,0.124,0.10984512183026643,0.13815487816973357,0.4401173261295619,0.41725274546459373,0.46298190679453005,-6.244220446584565,-6.335592996874597,-6.152847896294533
gppo_event_single_head,3x20,5,500,training_seed,23.104167328537052,22.83509116743551,23.373243489638593,0.9369583662714097,0.9337945282380086,0.9401222043048109,0.8069084697910783,0.7990489180082582,0.8147680215738985,0.084,0.0516265550798189,0.11637344492018112,4.014,3.8517523583653683,4.176247641634633,0.9275555555555556,0.9184368609987809,0.9366742501123303,0.532,0.4621021060116973,0.6018978939883027,24.02,23.84708394267738,24.19291605732262,28.484,28.204932598363765,28.76306740163624,0.286,0.27184512183026643,0.3001548781697335,0.11399999999999999,0.09322631818863106,0.13477368181136892,0.3979511038131728,0.3356390826156198,0.46026312501072575,-10.41772365170387,-10.686799812805413,-10.148647490602327
gppo_event_single_head,4x24,5,500,training_seed,21.243846478035774,21.07386738526806,21.41382557080349,0.9713333333333333,0.9699453333333332,0.9727213333333333,0.8272499999999999,0.8203622466652761,0.8341377533347237,0.038000000000000006,0.032448000000000005,0.04355200000000001,4.145999999999999,3.980693919966626,4.311306080033372,1.2408750000000002,1.2305433699979145,1.2512066300020859,0.33199999999999996,0.27760173179227116,0.38639826820772877,27.738,27.650478922858547,27.825521077141453,46.216,45.877646707336844,46.55435329266316,0.21200000000000002,0.20644800000000002,0.21755200000000002,0.124,0.11720021647403389,0.1307997835259661,0.5852813852813853,0.5448131739605367,0.6257495966022338,-8.429483829352131,-8.599462922119848,-8.259504736584415
gppo_none,2x12,5,500,training_seed,85.80290677105745,83.56591112276477,88.03990241935013,0.7340555687309356,0.7221553753614242,0.745955762100447,0.7382897435897436,0.7067701716827358,0.7698093154967515,0.08800000000000001,0.043757840197386405,0.1322421598026136,3.314,2.9152210537954644,3.7127789462045357,0.6604285714285714,0.6319443609853902,0.6889127818717525,83.668,81.20649401692705,86.12950598307296,0.0,0.0,0.0,11.475999999999999,11.284959560469517,11.667040439530481,0.22799999999999998,0.20760064942210169,0.24839935057789828,0.0,0.0,0.0,0.0,0.0,0.0,-74.74225798960845,-76.97925363790112,-72.50526234131577
gppo_none,3x16,5,500,training_seed,90.20771953802414,86.41601339295616,93.99942568309211,0.7682350323320508,0.753005489213389,0.7834645754507127,0.7049084967320262,0.6824736652419922,0.7273433282220602,0.006,-0.0007997835259661015,0.012799783525966103,4.884,4.51129163066011,5.256708369339891,0.8967692307692307,0.868156670538062,0.9253817910003993,90.35999999999999,86.27059300150253,94.44940699849744,0.0,0.0,0.0,34.156000000000006,33.46202220835534,34.84997779164467,0.23200000000000004,0.2216131590943156,0.2423868409056845,0.0,0.0,0.0,0.0,0.0,0.0,-77.80668693300771,-81.59839307807567,-74.01498078793975
gppo_none,3x20,5,500,training_seed,102.96060607666304,99.55687985766359,106.36433229566249,0.8085773197816675,0.7991638983947474,0.8179907411685875,0.7540599661208357,0.7479175972374458,0.7602023350042256,0.04,0.024795221803656592,0.05520477819634341,5.112,4.988039865505074,5.235960134494926,0.8671111111111112,0.8602244369725043,0.873997785249718,101.362,97.69775991602296,105.02624008397703,0.0,0.0,0.0,40.236000000000004,39.51639997047249,40.95560002952752,0.28,0.2647952218036566,0.29520477819634344,0.0,0.0,0.0,0.0,0.0,0.0,-90.27416239982986,-93.6778886188293,-86.87043618083042
gppo_none,4x24,5,500,training_seed,39.447416821091885,34.190082991872686,44.704750650311084,0.9420833333333333,0.9303046268867172,0.9538620397799493,0.7916666666666666,0.7742550870587033,0.80907824627463,0.03,0.006774317663414069,0.05322568233658593,4.999999999999999,4.582122089408879,5.417877910591119,1.1875,1.161382630588055,1.213617369411945,28.07,22.76239979615646,33.37760020384354,0.0,0.0,0.0,49.828,48.02527919364534,51.63072080635467,0.21000000000000002,0.17380538824631492,0.24619461175368512,0.0,0.0,0.0,0.0,0.0,0.0,-26.633054172408244,-31.890388001627443,-21.375720343189045
