method_id,scale,training_seed,evaluation_episodes,makespan,completion_rate,deadline_completion_rate,mission_success,deadline_remaining_tasks,throughput,invalid_actions,communication_events,heartbeat_messages,reallocated_tasks,reallocation_successes,reallocation_success_rate,return
gppo_event,2x12,3,100,17.287152490024102,0.9039789377289377,0.7664890109890109,0.12,2.95,0.6857142857142857,0.09,14.9,9.62,0.24,0.08,0.3333333333333333,-6.226503708575104
gppo_event,2x12,4,100,17.049634373339615,0.9012866300366299,0.7698498168498168,0.12,2.91,0.6892857142857143,0.11,14.84,9.53,0.26,0.08,0.3076923076923077,-5.988985591890618
gppo_event,2x12,5,100,17.5362178039056,0.9074093406593406,0.7648864468864467,0.08,2.97,0.685,0.08,15.06,9.79,0.24,0.09,0.375,-6.475569022456601
gppo_event,3x16,1,100,19.019477231316284,0.9417156862745099,0.7356413398692809,0.02,4.37,0.9361538461538461,0.21,19.91,25.76,0.28,0.12,0.42857142857142855,-6.618444626299858
gppo_event,3x16,2,100,18.618439129691616,0.9405024509803921,0.7406781045751635,0.02,4.29,0.9423076923076923,0.22,19.74,25.23,0.29,0.14,0.4827586206896552,-6.2174065246751935
gppo_event,3x16,3,100,19.111746988952156,0.9379330065359477,0.7190236928104575,0.0,4.64,0.9153846153846154,0.21,19.83,25.93,0.26,0.1,0.38461538461538464,-6.710714383935729
gppo_event,3x16,4,100,18.972606111626387,0.9391830065359477,0.7345710784313725,0.02,4.39,0.9346153846153846,0.26,19.88,25.56,0.28,0.13,0.4642857142857143,-6.571573506609964
gppo_event,3x16,5,100,18.95627844176295,0.9404330065359477,0.7260416666666667,0.0,4.53,0.9238461538461538,0.21,19.89,25.59,0.27,0.12,0.4444444444444444,-6.555245836746526
gppo_event,3x20,1,100,23.36486223641637,0.9357816676077545,0.7956232825145867,0.07,4.25,0.9150000000000001,0.54,24.21,28.71,0.27,0.11,0.4074074074074074,-10.678418559583193
gppo_event,3x20,2,100,23.333680850054378,0.9377446828533786,0.8038438735177864,0.1,4.08,0.9244444444444444,0.52,24.03,28.57,0.28,0.08,0.2857142857142857,-10.6472371732212
gppo_event,3x20,3,100,23.05798768790488,0.9257040278562016,0.7921727837380012,0.08,4.32,0.9111111111111111,0.61,23.83,28.04,0.29,0.11,0.3793103448275862,-10.3715440110717
gppo_event,3x20,4,100,23.142842114956185,0.9372383775644646,0.8009522868435911,0.08,4.14,0.9205555555555557,0.58,24.03,28.44,0.28,0.09,0.32142857142857145,-10.456398438123003
gppo_event,3x20,5,100,23.07757001565124,0.9342273668360626,0.8019177489177488,0.06,4.12,0.9222222222222223,0.56,24.01,28.36,0.27,0.1,0.37037037037037035,-10.391126338818065
gppo_event,4x24,1,100,21.501494275896842,0.9704166666666666,0.8191666666666666,0.04,4.34,1.22875,0.35,27.8,46.43,0.24,0.15,0.625,-8.687131627213205
gppo_event,4x24,2,100,21.71082323538831,0.9699999999999999,0.8154166666666667,0.04,4.43,1.223125,0.34,27.8,46.96,0.24,0.14,0.5833333333333334,-8.896460586704668
gppo_event,4x24,3,100,21.953539190737466,0.9716666666666666,0.8083333333333332,0.02,4.6,1.2125,0.39,27.86,47.77,0.23,0.14,0.6086956521739131,-9.139176542053818
gppo_event,4x24,4,100,21.335723119621793,0.9704166666666666,0.8216666666666665,0.04,4.28,1.2325,0.38,27.72,46.31,0.2,0.12,0.6,-8.521360470938143
gppo_event,4x24,5,100,21.28675887850661,0.9679166666666665,0.8129166666666666,0.04,4.49,1.219375,0.41,27.7,46.34,0.19,0.11,0.5789473684210527,-8.472396229822966
gppo_event_no_gate,2x12,1,100,17.125446210819334,0.90378663003663,0.7743553113553113,0.16,2.85,0.6935714285714285,0.11,14.87,9.54,0.23,0.07,0.30434782608695654,-6.064797429370336
gppo_event_no_gate,2x12,2,100,17.382830534766658,0.905709706959707,0.768201465201465,0.08,2.93,0.6885714285714286,0.12,15.0,9.65,0.26,0.08,0.3076923076923077,-6.32218175331766
gppo_event_no_gate,2x12,3,100,17.51098728545623,0.9058067765567767,0.7616263736263734,0.07,3.01,0.682142857142857,0.09,15.01,9.67,0.25,0.09,0.36,-6.450338504007231
gppo_event_no_gate,2x12,4,100,17.211815320457163,0.9031694139194139,0.7721208791208789,0.15,2.87,0.6914285714285714,0.09,14.85,9.58,0.24,0.08,0.3333333333333333,-6.151166539008164
gppo_event_no_gate,2x12,5,100,17.590424711977064,0.9031144688644689,0.7562692307692308,0.1,3.08,0.6778571428571428,0.08,15.01,9.73,0.27,0.09,0.3333333333333333,-6.529775930528063
gppo_event_no_gate,3x16,1,100,18.888297509423158,0.9417156862745099,0.7330678104575163,0.02,4.41,0.933076923076923,0.18,19.83,25.63,0.28,0.11,0.39285714285714285,-6.487264904406732
gppo_event_no_gate,3x16,2,100,18.818061821389183,0.9416462418300654,0.7362745098039215,0.03,4.36,0.9369230769230767,0.19,19.84,25.76,0.28,0.12,0.42857142857142855,-6.417029216372762
gppo_event_no_gate,3x16,3,100,18.976063087501412,0.9387745098039215,0.7295343137254902,0.0,4.47,0.9284615384615384,0.22,19.85,25.68,0.24,0.1,0.4166666666666667,-6.575030482484989
gppo_event_no_gate,3x16,4,100,19.183176340529602,0.9398815359477125,0.7155596405228759,0.01,4.7,0.9107692307692307,0.23,19.87,25.9,0.29,0.13,0.4482758620689655,-6.782143735513174
gppo_event_no_gate,3x16,5,100,18.9922874629645,0.9435253267973858,0.7343259803921569,0.0,4.39,0.9346153846153845,0.19,19.93,25.5,0.25,0.13,0.52,-6.59125485794808
gppo_event_no_gate,3x20,1,100,23.77366827476193,0.9328144174665912,0.794619235836627,0.09,4.27,0.9133333333333333,0.6,24.07,28.57,0.3,0.09,0.3,-11.087224597928753
gppo_event_no_gate,3x20,2,100,23.302321162057112,0.9331434217955957,0.7987147562582346,0.12,4.18,0.9183333333333334,0.59,23.91,28.79,0.28,0.11,0.39285714285714285,-10.615877485223928
gppo_event_no_gate,3x20,3,100,23.164972255838116,0.9332841144362883,0.8017902315076227,0.08,4.12,0.9211111111111111,0.54,23.93,28.32,0.29,0.11,0.3793103448275862,-10.478528579004939
gppo_event_no_gate,3x20,4,100,23.579373099714285,0.9270479013739883,0.7786757952192737,0.04,4.6,0.8955555555555554,0.57,23.92,28.81,0.26,0.1,0.38461538461538464,-10.892929422881107
gppo_event_no_gate,3x20,5,100,23.156027520063184,0.93297628458498,0.8008695652173914,0.08,4.14,0.9211111111111111,0.48,23.94,28.73,0.29,0.11,0.3793103448275862,-10.469583843230005
gppo_event_no_gate,4x24,1,100,21.723292828718282,0.9691666666666666,0.8195833333333333,0.02,4.33,1.229375,0.34,27.78,47.0,0.17,0.1,0.5882352941176471,-8.908930180034636
gppo_event_no_gate,4x24,2,100,21.10850450565603,0.9695833333333332,0.8270833333333333,0.04,4.15,1.240625,0.4,27.78,46.07,0.18,0.1,0.5555555555555556,-8.294141856972384
gppo_event_no_gate,4x24,3,100,21.732029432605554,0.9691666666666667,0.8099999999999998,0.02,4.56,1.215,0.32,27.74,47.21,0.23,0.14,0.6086956521739131,-8.917666783921913
gppo_event_no_gate,4x24,4,100,22.16325593217846,0.9695833333333332,0.7995833333333334,0.02,4.81,1.199375,0.43,27.95,47.96,0.24,0.15,0.625,-9.348893283494812
gppo_event_no_gate,4x24,5,100,21.556852343322188,0.9687499999999999,0.8154166666666667,0.03,4.43,1.223125,0.41,27.79,46.71,0.21,0.11,0.5238095238095238,-8.742489694638543
gppo_event_single_head,2x12,1,100,17.281828748103834,0.9064478021978022,0.7785311355311353,0.13,2.8,0.6978571428571427,0.14,15.02,9.59,0.23,0.06,0.2608695652173913,-6.2211799666548355
